vectorizer,scaler,oversampler,undersampler,estimator,n_estimators,estimator,n_estimators,learning_rate,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,mean_score_time,std_score_time,rank_test_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,std_fit_time,params
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),30,DecisionTreeClassifier(random_state=42),50,1.0,gini,5,10,2,,5.7893,0.3379,1,0.7989,0.0064,0.7957,0.7947,0.8038,0.7916,0.8087,226.0101,10.9033,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'gini', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 2, 'model__estimator__estimator__min_samples_split': 10, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 30, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),10,DecisionTreeClassifier(random_state=42),50,1.0,gini,5,5,2,,2.5142,0.342,2,0.7985,0.0068,0.7989,0.7982,0.8024,0.7862,0.8066,102.3792,2.5892,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'gini', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 2, 'model__estimator__estimator__min_samples_split': 5, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 10, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),10,DecisionTreeClassifier(random_state=42),50,1.0,gini,5,10,2,,2.6195,0.202,3,0.7981,0.0056,0.7973,0.7942,0.8031,0.7904,0.8058,96.1669,1.256,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'gini', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 2, 'model__estimator__estimator__min_samples_split': 10, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 10, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),30,DecisionTreeClassifier(random_state=42),50,1.0,gini,5,5,2,,8.1808,2.815,4,0.798,0.0078,0.797,0.7925,0.8069,0.7869,0.8064,1094.6934,9.1008,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'gini', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 2, 'model__estimator__estimator__min_samples_split': 5, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 30, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),30,DecisionTreeClassifier(random_state=42),50,1.0,gini,5,10,2,,7.1137,0.6825,5,0.7978,0.0077,0.797,0.7921,0.8074,0.7872,0.8054,722.1061,15.8032,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'gini', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 2, 'model__estimator__estimator__min_samples_split': 10, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 30, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),30,DecisionTreeClassifier(random_state=42),50,1.0,gini,5,5,2,,10.1809,2.1037,6,0.7976,0.0054,0.7967,0.7937,0.8017,0.7903,0.8054,285.8717,18.2052,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'gini', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 2, 'model__estimator__estimator__min_samples_split': 5, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 30, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),30,DecisionTreeClassifier(random_state=42),50,1.0,gini,5,5,5,,6.1263,0.3265,7,0.7975,0.0058,0.7936,0.794,0.8028,0.7911,0.806,225.7042,3.4953,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'gini', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 5, 'model__estimator__estimator__min_samples_split': 5, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 30, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),30,DecisionTreeClassifier(random_state=42),50,1.0,gini,5,10,5,,5.8472,0.0867,7,0.7975,0.0058,0.7936,0.794,0.8028,0.7911,0.806,218.8911,2.067,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'gini', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 5, 'model__estimator__estimator__min_samples_split': 10, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 30, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),30,DecisionTreeClassifier(random_state=42),50,1.0,gini,5,5,5,,5.7649,0.4621,9,0.797,0.0064,0.7938,0.7929,0.8042,0.789,0.8049,636.9059,3.0206,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'gini', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 5, 'model__estimator__estimator__min_samples_split': 5, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 30, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),30,DecisionTreeClassifier(random_state=42),50,1.0,gini,5,10,5,,5.9147,0.4383,9,0.797,0.0064,0.7938,0.7929,0.8042,0.789,0.8049,630.7024,4.7374,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'gini', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 5, 'model__estimator__estimator__min_samples_split': 10, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 30, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
