vectorizer,scaler,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,mean_score_time,std_score_time,rank_test_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,std_fit_time,params
CountVectorizer(min_df=7),passthrough,100,gini,20,5,2,sqrt,,0.4487,0.0202,1,0.7825,0.005,0.7826,0.7775,0.7907,0.7771,0.7848,9.4175,0.0816,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,gini,20,10,2,sqrt,,0.4493,0.0155,2,0.7824,0.0064,0.785,0.7752,0.792,0.7753,0.7844,8.6816,0.0802,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,gini,20,5,2,sqrt,,0.4534,0.0158,3,0.7819,0.006,0.7839,0.7764,0.7925,0.776,0.7806,10.6114,0.1071,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,gini,20,10,2,sqrt,,0.4204,0.013,4,0.7818,0.0055,0.7804,0.7781,0.7925,0.7773,0.781,9.9934,0.122,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,gini,20,10,5,sqrt,,0.6361,0.2243,5,0.7812,0.0061,0.7838,0.774,0.7916,0.7781,0.7784,11.5585,0.231,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,gini,20,5,5,sqrt,,0.4166,0.0117,5,0.7812,0.0061,0.7838,0.774,0.7916,0.7781,0.7784,9.1407,0.0812,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,entropy,20,10,2,sqrt,,0.3977,0.0124,7,0.7809,0.008,0.7838,0.7744,0.7945,0.772,0.7796,8.78,0.11,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,entropy,20,5,2,sqrt,,0.446,0.0085,8,0.7806,0.007,0.7806,0.7735,0.7934,0.7754,0.7798,10.1276,0.127,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,50,gini,20,10,2,sqrt,,0.3637,0.0148,9,0.78,0.0071,0.7871,0.7724,0.7896,0.7734,0.7775,4.9939,0.088,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,entropy,20,5,2,sqrt,,0.4678,0.0296,10,0.78,0.0058,0.7782,0.7726,0.7896,0.7829,0.7766,11.6268,0.1344,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
