vectorizer,scaler,penalty,C,solver,max_iter,class_weight,mean_score_time,std_score_time,rank_test_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,std_fit_time,params
TfidfVectorizer(min_df=7),StandardScaler(),l2,1.0,saga,3000,,0.2579,0.0059,1,0.8459,0.0069,0.8429,0.8411,0.8597,0.8429,0.8428,13.0644,0.2973,"{'model__C': 1.0, 'model__class_weight': None, 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'saga', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),l2,10.0,saga,3000,,0.2901,0.0786,2,0.8457,0.0056,0.8434,0.8441,0.8567,0.8406,0.8438,66.0611,2.9087,"{'model__C': 10, 'model__class_weight': None, 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'saga', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),l2,1.0,saga,3000,,0.2268,0.0131,3,0.8456,0.007,0.8423,0.8408,0.8594,0.8426,0.8428,21.9849,0.6289,"{'model__C': 1.0, 'model__class_weight': None, 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'saga', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),l2,1.0,liblinear,3000,,0.2957,0.0193,4,0.8453,0.0072,0.8409,0.841,0.8596,0.8423,0.8428,1.8116,0.046,"{'model__C': 1.0, 'model__class_weight': None, 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),l2,1.0,liblinear,3000,,0.2729,0.0348,5,0.8452,0.0073,0.8409,0.8405,0.8596,0.842,0.8431,1.4491,0.1013,"{'model__C': 1.0, 'model__class_weight': None, 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),l2,0.1,saga,3000,,0.2957,0.0553,6,0.8434,0.0061,0.8392,0.8399,0.8551,0.8391,0.8436,34.8774,2.7559,"{'model__C': 0.1, 'model__class_weight': None, 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'saga', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),l2,0.1,liblinear,3000,,0.4058,0.1476,7,0.8433,0.0058,0.8396,0.8399,0.8543,0.8388,0.8439,2.118,0.25,"{'model__C': 0.1, 'model__class_weight': None, 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),l2,0.1,liblinear,3000,,0.2338,0.006,8,0.8429,0.0056,0.8397,0.8393,0.8538,0.8391,0.8429,2.4335,0.0447,"{'model__C': 0.1, 'model__class_weight': None, 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),l2,0.1,saga,3000,,0.2642,0.0289,9,0.8429,0.0056,0.8395,0.8391,0.8538,0.8391,0.8433,49.8342,3.0046,"{'model__C': 0.1, 'model__class_weight': None, 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'saga', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),l2,10.0,saga,3000,,0.2583,0.0152,10,0.8427,0.0047,0.8393,0.8412,0.8521,0.8408,0.8401,53.7205,0.9768,"{'model__C': 10, 'model__class_weight': None, 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'saga', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),l2,10.0,liblinear,3000,,0.2659,0.01,11,0.8421,0.0047,0.8389,0.8395,0.8515,0.8406,0.8401,2.0631,0.1755,"{'model__C': 10, 'model__class_weight': None, 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),l2,10.0,liblinear,3000,,0.311,0.0801,11,0.8421,0.0047,0.8389,0.8395,0.8515,0.8406,0.8401,1.9406,0.1237,"{'model__C': 10, 'model__class_weight': None, 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),l2,1.0,saga,3000,,0.2515,0.0494,13,0.8407,0.0051,0.8399,0.8355,0.8487,0.8355,0.8439,47.714,4.0675,"{'model__C': 1.0, 'model__class_weight': None, 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'saga', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),l2,1.0,liblinear,3000,,0.3063,0.0173,14,0.8407,0.0047,0.8423,0.8356,0.8474,0.8353,0.843,2.564,0.0663,"{'model__C': 1.0, 'model__class_weight': None, 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),l2,1.0,saga,3000,,0.2779,0.0766,15,0.8406,0.0044,0.8402,0.8366,0.8472,0.8355,0.8437,42.0544,3.1969,"{'model__C': 1.0, 'model__class_weight': None, 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'saga', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),l2,1.0,liblinear,3000,,0.2977,0.0614,16,0.8405,0.0047,0.8417,0.8358,0.8474,0.8348,0.843,2.3817,0.0706,"{'model__C': 1.0, 'model__class_weight': None, 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),l2,0.1,liblinear,3000,balanced,0.2518,0.0083,17,0.8398,0.0052,0.8378,0.8388,0.8485,0.8327,0.8414,1.6712,0.1337,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),l2,0.1,liblinear,3000,balanced,0.2909,0.0813,18,0.8398,0.0046,0.8389,0.8395,0.8471,0.8326,0.841,1.7979,0.3455,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),l2,1.0,liblinear,3000,balanced,0.2244,0.0072,19,0.8396,0.0069,0.8352,0.8372,0.8529,0.8334,0.8394,1.2494,0.0266,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),l2,1.0,liblinear,3000,balanced,0.2661,0.0173,20,0.8396,0.007,0.8352,0.837,0.8529,0.8332,0.8396,1.5714,0.0446,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),l2,1.0,saga,3000,balanced,0.2277,0.0145,21,0.8396,0.0068,0.8354,0.8375,0.8524,0.8329,0.8397,13.1348,0.2465,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'saga', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),l2,0.1,saga,3000,balanced,0.2643,0.0237,22,0.8395,0.0053,0.838,0.8381,0.8483,0.8321,0.8411,32.0152,1.9233,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'saga', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),l2,1.0,saga,3000,balanced,0.2489,0.025,23,0.8393,0.0067,0.8359,0.8365,0.852,0.8327,0.8397,23.7243,2.3007,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'saga', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),l2,0.1,saga,3000,balanced,0.262,0.044,24,0.839,0.0053,0.8367,0.8372,0.8481,0.8321,0.8407,27.0686,1.7574,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'saga', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),l2,10.0,saga,3000,balanced,0.1736,0.0376,25,0.8387,0.0079,0.8347,0.8381,0.8537,0.8309,0.8359,48.9172,5.5181,"{'model__C': 10, 'model__class_weight': 'balanced', 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'saga', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),l2,10.0,saga,3000,balanced,0.2303,0.0136,26,0.8386,0.0063,0.8362,0.8386,0.8502,0.8313,0.8367,46.7336,3.635,"{'model__C': 10, 'model__class_weight': 'balanced', 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'saga', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),l2,1.0,saga,3000,balanced,0.2252,0.0145,27,0.838,0.0042,0.8389,0.8335,0.8448,0.8337,0.8391,42.1594,2.8573,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'saga', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
