vectorizer,scaler,n_neighbors,metric,weights,mean_score_time,std_score_time,rank_test_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,std_fit_time,params
TfidfVectorizer(min_df=7),RobustScaler(),9,euclidean,uniform,49.4123,1.9849,1,0.7589,0.0053,0.7541,0.7548,0.7591,0.7578,0.7688,2.7525,0.2454,"{'model__metric': 'euclidean', 'model__n_neighbors': 9, 'model__weights': 'uniform', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),9,euclidean,distance,61.5702,3.0289,2,0.7586,0.0058,0.7528,0.7541,0.7593,0.7573,0.7692,3.086,0.4363,"{'model__metric': 'euclidean', 'model__n_neighbors': 9, 'model__weights': 'distance', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),7,euclidean,uniform,86.4002,10.0238,3,0.7575,0.0078,0.7527,0.75,0.7585,0.7541,0.7721,3.1868,0.601,"{'model__metric': 'euclidean', 'model__n_neighbors': 7, 'model__weights': 'uniform', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),7,euclidean,distance,49.3617,1.9518,4,0.7573,0.0084,0.751,0.7495,0.7595,0.7541,0.7726,2.2064,0.2055,"{'model__metric': 'euclidean', 'model__n_neighbors': 7, 'model__weights': 'distance', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),5,euclidean,uniform,38.2431,1.203,5,0.7429,0.0152,0.7171,0.7431,0.7463,0.7434,0.7647,2.0596,0.0291,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'uniform', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),5,euclidean,distance,39.1797,2.2918,6,0.7429,0.0156,0.716,0.7424,0.7474,0.7438,0.7647,1.6901,0.2044,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'distance', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),9,euclidean,uniform,53.0936,1.6201,7,0.7385,0.0077,0.7279,0.7322,0.7396,0.7431,0.7495,1.8927,0.2082,"{'model__metric': 'euclidean', 'model__n_neighbors': 9, 'model__weights': 'uniform', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),9,euclidean,distance,50.5026,10.2719,8,0.7384,0.0083,0.7267,0.7318,0.7405,0.7426,0.7503,1.9062,0.3469,"{'model__metric': 'euclidean', 'model__n_neighbors': 9, 'model__weights': 'distance', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),7,euclidean,uniform,89.6073,11.3754,9,0.7383,0.0065,0.7338,0.7301,0.7388,0.7396,0.7494,2.0591,0.0836,"{'model__metric': 'euclidean', 'model__n_neighbors': 7, 'model__weights': 'uniform', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),7,euclidean,distance,47.4102,1.0102,10,0.7382,0.007,0.732,0.7299,0.7398,0.7394,0.7497,2.5754,0.0755,"{'model__metric': 'euclidean', 'model__n_neighbors': 7, 'model__weights': 'distance', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
