vectorizer,scaler,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,scale_pos_weight,mean_score_time,std_score_time,rank_test_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,std_fit_time,params
CountVectorizer(min_df=7),passthrough,300,6,0.1,0.8,0.8,1,0.7463,0.0891,1,0.8382,0.0047,0.8354,0.8355,0.8473,0.8344,0.8385,11.1056,0.6644,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,6,0.1,0.8,0.8,1.5,0.6145,0.0222,2,0.8379,0.0053,0.832,0.8322,0.846,0.8388,0.8404,9.4612,0.1333,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,6,0.1,0.8,1.0,1.5,0.8647,0.0124,3,0.8376,0.0055,0.8291,0.8343,0.8449,0.8389,0.8411,14.3176,0.3477,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,6,0.1,1.0,0.8,1,0.6098,0.0071,4,0.8372,0.0044,0.837,0.8333,0.8443,0.832,0.8394,9.7193,0.1968,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,6,0.1,0.8,1.0,1.5,0.6371,0.0742,5,0.8366,0.0054,0.8311,0.8305,0.8426,0.8362,0.8429,103.7319,5.72,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,6,0.1,0.8,0.8,1.5,0.9906,0.2684,6,0.8366,0.0063,0.8289,0.8305,0.8456,0.8375,0.8408,85.4305,2.4853,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,6,0.1,0.8,1.0,1,0.8974,0.088,7,0.8364,0.0047,0.8321,0.8338,0.8451,0.8338,0.8371,14.5663,0.3775,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,6,0.1,0.8,1.0,1,0.8064,0.0111,8,0.8362,0.0034,0.8319,0.8355,0.8409,0.8333,0.8392,111.0646,0.9866,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,6,0.1,1.0,1.0,1.5,0.7958,0.1182,9,0.836,0.0061,0.8279,0.8302,0.8441,0.8376,0.8403,13.2922,0.4874,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,6,0.1,0.8,0.8,1,0.6481,0.0082,10,0.8355,0.0047,0.8325,0.8342,0.8422,0.829,0.8394,74.3864,0.4474,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
