vectorizer,scaler,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,mean_score_time,std_score_time,rank_test_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,std_fit_time,params
TfidfVectorizer(min_df=7),passthrough,gini,15,5,2,,,0.3735,0.1056,1,0.7422,0.01,0.7228,0.7496,0.7496,0.7427,0.7462,4.0395,0.4748,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,gini,15,10,2,,,0.2022,0.0147,2,0.7412,0.0101,0.7214,0.7474,0.7488,0.7449,0.7436,4.4434,0.3557,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,gini,20,5,2,,,0.2263,0.0167,3,0.7408,0.0027,0.7385,0.7402,0.7417,0.7381,0.7455,4.5416,0.1323,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,gini,15,10,5,,,0.2812,0.115,4,0.7407,0.0085,0.724,0.7454,0.7472,0.7451,0.7417,3.2898,0.1983,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,gini,15,5,5,,,0.2,0.0012,4,0.7407,0.0085,0.724,0.7454,0.7472,0.7451,0.7417,3.2162,0.0696,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,gini,20,10,2,,,0.2283,0.0125,6,0.7387,0.0044,0.7322,0.738,0.7401,0.7372,0.7458,4.089,0.0844,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,gini,20,5,2,,,0.2358,0.0305,7,0.7383,0.0068,0.7362,0.737,0.7332,0.7334,0.7514,3.527,0.0763,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,gini,20,10,2,,,0.2109,0.0058,8,0.7363,0.0063,0.7362,0.737,0.731,0.7297,0.7476,3.1519,0.0388,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,gini,15,10,2,,,0.2081,0.0063,9,0.736,0.0062,0.7268,0.741,0.7324,0.7355,0.7444,3.9105,0.1645,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,gini,15,5,2,,,0.3078,0.0711,10,0.7356,0.007,0.7267,0.7397,0.7287,0.7374,0.7454,2.2882,0.0728,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
