vectorizer,scaler,oversampler,undersampler,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,mean_score_time,std_score_time,rank_test_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,std_fit_time,params
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,100,entropy,20,5,2,sqrt,0.4066,0.0094,1,0.7734,0.0057,0.7757,0.7725,0.7826,0.7653,0.7708,11.177,0.3472,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,100,entropy,20,10,2,sqrt,0.4228,0.0171,2,0.7729,0.0057,0.7786,0.7699,0.7809,0.7666,0.7685,10.7096,0.0805,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,50,entropy,20,5,2,sqrt,0.3403,0.0249,3,0.7722,0.0035,0.7739,0.7734,0.7762,0.7658,0.7717,6.1627,0.3881,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,100,gini,20,5,2,sqrt,0.399,0.0257,4,0.7708,0.0083,0.7769,0.764,0.784,0.7624,0.7665,9.4949,0.1175,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,50,entropy,20,10,2,sqrt,0.3433,0.012,5,0.7702,0.0076,0.7721,0.7671,0.784,0.7621,0.7657,5.794,0.1407,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,100,gini,20,10,2,sqrt,0.4386,0.0134,6,0.7701,0.0081,0.775,0.7679,0.7814,0.7571,0.7691,10.4839,0.0843,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,100,entropy,20,10,2,sqrt,0.4315,0.0303,7,0.7699,0.0047,0.7694,0.7688,0.779,0.7668,0.7656,11.8314,0.054,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,100,entropy,20,5,2,sqrt,0.4478,0.0325,8,0.7699,0.0048,0.7696,0.7685,0.7786,0.7637,0.769,11.7972,0.1463,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,50,gini,20,10,2,sqrt,0.3018,0.0099,9,0.7696,0.0071,0.768,0.7685,0.7815,0.7592,0.7708,5.1432,0.0992,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,100,gini,20,5,2,sqrt,0.3909,0.0328,10,0.7695,0.0054,0.7684,0.7675,0.78,0.7646,0.7673,10.0802,0.0414,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,100,gini,20,10,2,sqrt,0.4639,0.0306,11,0.7692,0.0045,0.7704,0.7691,0.7768,0.7631,0.7668,11.5557,0.0652,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,50,entropy,20,10,2,sqrt,0.3654,0.0183,12,0.769,0.004,0.7669,0.7675,0.7768,0.7682,0.7657,6.5008,0.0558,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,50,gini,20,5,2,sqrt,0.3153,0.0263,13,0.7688,0.0082,0.7695,0.7598,0.7833,0.7622,0.7694,5.628,0.0525,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,50,gini,20,5,2,sqrt,0.3074,0.0198,14,0.7684,0.006,0.7626,0.769,0.7795,0.7641,0.7669,5.8253,0.1054,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,50,entropy,20,5,2,sqrt,0.4023,0.0574,15,0.7682,0.0036,0.7673,0.7672,0.7745,0.7633,0.7688,7.2408,0.087,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,50,gini,20,10,2,sqrt,0.3481,0.036,16,0.7668,0.0053,0.7639,0.7684,0.7752,0.7593,0.7672,5.6511,0.0747,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,100,entropy,20,10,5,sqrt,0.449,0.0461,17,0.7663,0.0048,0.7687,0.7647,0.7745,0.7621,0.7614,12.6332,0.1569,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,100,entropy,20,5,5,sqrt,0.4832,0.0213,17,0.7663,0.0048,0.7687,0.7647,0.7745,0.7621,0.7614,11.2355,0.089,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,50,entropy,20,5,5,sqrt,0.3649,0.0406,19,0.7663,0.0047,0.7661,0.7674,0.7745,0.7614,0.762,5.6587,0.162,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,50,entropy,20,10,5,sqrt,0.4084,0.032,19,0.7663,0.0047,0.7661,0.7674,0.7745,0.7614,0.762,6.698,0.3801,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,100,gini,20,5,5,sqrt,0.5354,0.0412,21,0.7661,0.0058,0.7653,0.7652,0.777,0.7605,0.7624,12.3634,0.072,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,100,gini,20,10,5,sqrt,0.459,0.0154,21,0.7661,0.0058,0.7653,0.7652,0.777,0.7605,0.7624,12.8054,0.0894,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,100,entropy,20,5,5,sqrt,0.5506,0.0165,23,0.7647,0.0069,0.7648,0.7632,0.7774,0.757,0.7609,12.8482,0.1031,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,100,entropy,20,10,5,sqrt,0.4153,0.0732,23,0.7647,0.0069,0.7648,0.7632,0.7774,0.757,0.7609,12.9607,0.3611,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,100,gini,20,5,5,sqrt,0.5123,0.0634,25,0.7642,0.0067,0.7681,0.7596,0.7745,0.7552,0.7634,10.938,0.0445,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
