vectorizer,scaler,C,kernel,gamma,class_weight,mean_score_time,std_score_time,rank_test_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,std_fit_time,params
TfidfVectorizer(min_df=7),StandardScaler(),1.0,rbf,scale,,21.1673,1.5747,1,0.847,0.0049,0.8429,0.8452,0.8564,0.8437,0.8468,934.3753,13.6981,"{'model__C': 1.0, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),1.0,linear,scale,,13.3505,0.2807,2,0.8467,0.0058,0.8439,0.8467,0.8573,0.8398,0.8457,650.4421,16.636,"{'model__C': 1.0, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'linear', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),1.0,linear,scale,,13.4064,0.4589,2,0.8467,0.0058,0.8439,0.8467,0.8573,0.8398,0.8457,667.6379,18.0953,"{'model__C': 1.0, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'linear', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),1.0,rbf,scale,,23.0013,1.353,4,0.8465,0.0043,0.8418,0.8431,0.8528,0.8502,0.8445,1297.142,24.1517,"{'model__C': 1.0, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),0.1,linear,scale,,13.5925,2.2033,5,0.8457,0.007,0.8415,0.839,0.859,0.8437,0.8451,598.424,14.916,"{'model__C': 0.1, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'linear', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),0.1,linear,scale,,14.0146,1.5704,6,0.8456,0.0066,0.8422,0.839,0.8582,0.8432,0.8454,614.9446,10.3897,"{'model__C': 0.1, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'linear', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),1.0,rbf,scale,,22.2599,2.0488,7,0.8455,0.0048,0.8412,0.8405,0.8531,0.8487,0.8439,1366.372,12.4454,"{'model__C': 1.0, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),10.0,rbf,scale,balanced,14.1784,2.7241,8,0.8443,0.0056,0.842,0.8397,0.8553,0.8429,0.8413,1913.2009,140.8939,"{'model__C': 10, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'rbf', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),1.0,rbf,scale,,20.48,0.9415,9,0.8442,0.0047,0.8393,0.8446,0.853,0.8415,0.8425,714.3118,9.9406,"{'model__C': 1.0, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),10.0,rbf,scale,,27.2127,3.3844,10,0.844,0.0052,0.8404,0.8419,0.8541,0.8435,0.8401,2392.9089,114.8877,"{'model__C': 10, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),10.0,rbf,scale,balanced,25.058,2.7095,11,0.8438,0.0053,0.8438,0.8406,0.8536,0.8433,0.8377,2099.2052,32.2128,"{'model__C': 10, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'rbf', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),10.0,rbf,scale,balanced,8.4793,1.2635,12,0.8428,0.0059,0.8346,0.8429,0.8527,0.8399,0.8441,1262.7395,133.895,"{'model__C': 10, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'rbf', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),0.1,linear,scale,balanced,11.8287,0.9355,13,0.8427,0.0049,0.84,0.8426,0.8515,0.8367,0.8426,635.6617,9.4761,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'linear', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),10.0,rbf,scale,,24.1331,7.5161,14,0.8426,0.0043,0.8377,0.8433,0.8503,0.8397,0.8422,1910.0424,53.3754,"{'model__C': 10, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),0.1,linear,scale,balanced,12.3822,1.6385,15,0.8425,0.0048,0.8397,0.8427,0.851,0.8366,0.8426,1634.8884,852.6454,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'linear', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),10.0,rbf,scale,,23.1062,2.9709,16,0.8424,0.0049,0.8394,0.8416,0.8512,0.843,0.8368,2321.7782,36.9824,"{'model__C': 10, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),1.0,rbf,scale,balanced,22.9271,0.7483,17,0.8422,0.005,0.8381,0.8427,0.8517,0.84,0.8385,1256.049,34.2572,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'rbf', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),1.0,rbf,scale,balanced,23.523,0.5103,18,0.8418,0.0051,0.838,0.8439,0.8508,0.8368,0.8395,1273.1742,74.7964,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'rbf', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
