vectorizer,scaler,alpha,fit_prior,mean_score_time,std_score_time,rank_test_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,std_fit_time,params
TfidfVectorizer(min_df=7),MinMaxScaler(),10.0,True,0.3352,0.132,1,0.8405,0.0077,0.837,0.8421,0.8548,0.8331,0.8356,1.5048,0.1968,"{'model__alpha': 10, 'model__fit_prior': True, 'preprocessing__scaler': MinMaxScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),MinMaxScaler(),1.0,True,0.2353,0.0257,2,0.8391,0.0073,0.8298,0.8424,0.8513,0.8347,0.8375,1.0105,0.0177,"{'model__alpha': 1.0, 'model__fit_prior': True, 'preprocessing__scaler': MinMaxScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),MinMaxScaler(),0.1,True,0.2054,0.0073,3,0.8382,0.0078,0.8276,0.8413,0.8508,0.8336,0.8375,0.9845,0.0106,"{'model__alpha': 0.1, 'model__fit_prior': True, 'preprocessing__scaler': MinMaxScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),MinMaxScaler(),10.0,True,0.4046,0.1001,4,0.8371,0.0075,0.8275,0.8431,0.8482,0.8322,0.8344,0.9175,0.0528,"{'model__alpha': 10, 'model__fit_prior': True, 'preprocessing__scaler': MinMaxScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),MinMaxScaler(),1.0,True,0.2624,0.0421,5,0.8332,0.0069,0.8256,0.8351,0.8457,0.8299,0.8297,1.1064,0.0449,"{'model__alpha': 1.0, 'model__fit_prior': True, 'preprocessing__scaler': MinMaxScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),MinMaxScaler(),1.0,False,0.21,0.0124,6,0.832,0.0065,0.8248,0.8385,0.8408,0.8261,0.8297,1.1208,0.0164,"{'model__alpha': 1.0, 'model__fit_prior': False, 'preprocessing__scaler': MinMaxScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),MinMaxScaler(),0.1,False,0.2256,0.0186,7,0.8311,0.007,0.8217,0.8374,0.8404,0.8255,0.8305,0.9182,0.0234,"{'model__alpha': 0.1, 'model__fit_prior': False, 'preprocessing__scaler': MinMaxScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),MinMaxScaler(),10.0,False,0.2071,0.0455,8,0.8285,0.0053,0.8214,0.8328,0.8362,0.8262,0.8256,1.4865,0.1084,"{'model__alpha': 10, 'model__fit_prior': False, 'preprocessing__scaler': MinMaxScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),MinMaxScaler(),0.1,True,0.2189,0.0049,9,0.8262,0.0052,0.8205,0.8283,0.8354,0.8226,0.8244,0.9156,0.0214,"{'model__alpha': 0.1, 'model__fit_prior': True, 'preprocessing__scaler': MinMaxScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),MinMaxScaler(),10.0,False,0.1035,0.011,10,0.8218,0.0048,0.8159,0.8209,0.8306,0.8206,0.8207,0.976,0.199,"{'model__alpha': 10, 'model__fit_prior': False, 'preprocessing__scaler': MinMaxScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),MinMaxScaler(),1.0,False,0.2169,0.0251,11,0.8051,0.0053,0.8007,0.8089,0.8108,0.797,0.808,0.9491,0.0785,"{'model__alpha': 1.0, 'model__fit_prior': False, 'preprocessing__scaler': MinMaxScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),MinMaxScaler(),0.1,False,0.2317,0.0166,12,0.7981,0.0046,0.7934,0.8015,0.8036,0.792,0.8001,0.997,0.0189,"{'model__alpha': 0.1, 'model__fit_prior': False, 'preprocessing__scaler': MinMaxScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
